feature,mda
exercise angina,0.040983606557376984
oldpeak,0.016393442622950727
ST slope,0.061475409836065475
age,0.020491803278688492
sex,0.020491803278688492
chest pain type,0.11065573770491799
resting bp s,0.012295081967213073
cholesterol,-0.004098360655737765
fasting blood sugar,0.020491803278688492
resting ecg,0.004098360655737654
max heart rate,0.02868852459016391
exercise angina,0.024590163934426146
oldpeak,0.024590163934426146
ST slope,0.08196721311475408
age,0.012295081967213073
sex,0.008196721311475308
chest pain type,0.08196721311475408
resting bp s,0.008196721311475308
cholesterol,0.024590163934426146
fasting blood sugar,0.0
resting ecg,0.008196721311475308
max heart rate,0.012295081967213073
exercise angina,0.032786885245901565
oldpeak,0.032786885245901565
ST slope,0.08606557377049173
age,0.0
sex,0.016393442622950727
chest pain type,0.11475409836065564
resting bp s,0.020491803278688492
cholesterol,-0.004098360655737765
fasting blood sugar,0.004098360655737654
resting ecg,0.008196721311475308
max heart rate,0.020491803278688492
exercise angina,0.0
oldpeak,0.040983606557376984
ST slope,0.02868852459016391
age,0.016393442622950727
sex,0.008196721311475308
chest pain type,0.10245901639344257
resting bp s,0.012295081967213073
cholesterol,0.004098360655737654
fasting blood sugar,0.016393442622950727
resting ecg,0.0
max heart rate,0.008196721311475308
exercise angina,0.02868852459016391
oldpeak,0.008196721311475308
ST slope,0.05737704918032782
age,0.004098360655737654
sex,0.016393442622950727
chest pain type,0.09836065573770492
resting bp s,0.012295081967213073
cholesterol,0.0
fasting blood sugar,0.024590163934426146
resting ecg,0.012295081967213073
max heart rate,0.004098360655737654
exercise angina,0.0
oldpeak,0.032786885245901565
ST slope,0.05737704918032782
age,0.016393442622950727
sex,0.012295081967213073
chest pain type,0.06557377049180324
resting bp s,0.004098360655737654
cholesterol,-0.012295081967213184
fasting blood sugar,0.012295081967213073
resting ecg,0.004098360655737654
max heart rate,-0.008196721311475419
exercise angina,0.016393442622950727
oldpeak,0.024590163934426146
ST slope,0.08606557377049173
age,-0.004098360655737765
sex,0.004098360655737654
chest pain type,0.11065573770491799
resting bp s,0.016393442622950727
cholesterol,0.0
fasting blood sugar,0.024590163934426146
resting ecg,0.004098360655737654
max heart rate,0.032786885245901565
exercise angina,0.012295081967213073
oldpeak,0.032786885245901565
ST slope,0.08196721311475408
age,0.012295081967213073
sex,0.004098360655737654
chest pain type,0.08196721311475408
resting bp s,0.020491803278688492
cholesterol,0.012295081967213073
fasting blood sugar,0.020491803278688492
resting ecg,0.004098360655737654
max heart rate,0.0
exercise angina,0.032786885245901565
oldpeak,0.03688524590163933
ST slope,0.08606557377049173
age,0.004098360655737654
sex,0.0
chest pain type,0.10655737704918022
resting bp s,0.012295081967213073
cholesterol,0.008196721311475308
fasting blood sugar,0.008196721311475308
resting ecg,0.0
max heart rate,0.0
exercise angina,0.016393442622950727
oldpeak,-0.004098360655737765
ST slope,0.05327868852459017
age,0.008196721311475308
sex,0.004098360655737654
chest pain type,0.09836065573770492
resting bp s,0.03688524590163933
cholesterol,0.008196721311475308
fasting blood sugar,0.004098360655737654
resting ecg,0.012295081967213073
max heart rate,0.02868852459016391
exercise angina,0.024590163934426146
oldpeak,0.016393442622950727
ST slope,0.09426229508196715
age,0.016393442622950727
sex,0.008196721311475308
chest pain type,0.08196721311475408
resting bp s,0.032786885245901565
cholesterol,0.008196721311475308
fasting blood sugar,0.012295081967213073
resting ecg,0.0
max heart rate,0.032786885245901565
exercise angina,0.05327868852459017
oldpeak,0.020491803278688492
ST slope,0.06557377049180324
age,0.008196721311475308
sex,0.020491803278688492
chest pain type,0.07786885245901631
resting bp s,0.020491803278688492
cholesterol,0.004098360655737654
fasting blood sugar,0.012295081967213073
resting ecg,0.020491803278688492
max heart rate,0.020491803278688492
exercise angina,0.016393442622950727
oldpeak,0.004098360655737654
ST slope,0.04508196721311475
age,-0.008196721311475419
sex,0.008196721311475308
chest pain type,0.07786885245901631
resting bp s,0.032786885245901565
cholesterol,0.008196721311475308
fasting blood sugar,0.004098360655737654
resting ecg,0.0
max heart rate,0.032786885245901565
exercise angina,0.024590163934426146
oldpeak,0.024590163934426146
ST slope,0.05737704918032782
age,0.004098360655737654
sex,0.0
chest pain type,0.08606557377049173
resting bp s,0.004098360655737654
cholesterol,-0.020491803278688603
fasting blood sugar,0.020491803278688492
resting ecg,0.0
max heart rate,0.008196721311475308
exercise angina,0.016393442622950727
oldpeak,0.02868852459016391
ST slope,0.0491803278688524
age,0.012295081967213073
sex,0.016393442622950727
chest pain type,0.11475409836065564
resting bp s,0.040983606557376984
cholesterol,0.016393442622950727
fasting blood sugar,0.016393442622950727
resting ecg,0.008196721311475308
max heart rate,0.012295081967213073
exercise angina,0.004098360655737654
oldpeak,0.020491803278688492
ST slope,0.040983606557376984
age,0.008196721311475308
sex,0.004098360655737654
chest pain type,0.05737704918032782
resting bp s,0.03688524590163933
cholesterol,0.008196721311475308
fasting blood sugar,0.024590163934426146
resting ecg,0.012295081967213073
max heart rate,0.020491803278688492
exercise angina,0.024590163934426146
oldpeak,-0.008196721311475419
ST slope,0.07377049180327866
age,0.008196721311475308
sex,0.012295081967213073
chest pain type,0.09426229508196715
resting bp s,0.024590163934426146
cholesterol,0.012295081967213073
fasting blood sugar,0.020491803278688492
resting ecg,0.016393442622950727
max heart rate,-0.004098360655737765
exercise angina,0.020491803278688492
oldpeak,0.024590163934426146
ST slope,0.040983606557376984
age,-0.004098360655737765
sex,0.0
chest pain type,0.07377049180327866
resting bp s,0.008196721311475308
cholesterol,0.004098360655737654
fasting blood sugar,0.008196721311475308
resting ecg,0.008196721311475308
max heart rate,0.008196721311475308
exercise angina,0.04508196721311475
oldpeak,0.024590163934426146
ST slope,0.040983606557376984
age,0.012295081967213073
sex,0.008196721311475308
chest pain type,0.09426229508196715
resting bp s,0.008196721311475308
cholesterol,-0.004098360655737765
fasting blood sugar,0.020491803278688492
resting ecg,0.016393442622950727
max heart rate,0.024590163934426146
exercise angina,0.02868852459016391
oldpeak,0.020491803278688492
ST slope,0.10245901639344257
age,0.008196721311475308
sex,0.008196721311475308
chest pain type,0.10245901639344257
resting bp s,0.008196721311475308
cholesterol,-0.004098360655737765
fasting blood sugar,0.024590163934426146
resting ecg,0.004098360655737654
max heart rate,-0.012295081967213184
exercise angina,0.008196721311475308
oldpeak,0.016393442622950727
ST slope,0.040983606557376984
age,0.008196721311475308
sex,-0.008196721311475419
chest pain type,0.08606557377049173
resting bp s,0.004098360655737654
cholesterol,-0.016393442622950838
fasting blood sugar,0.032786885245901565
resting ecg,0.0
max heart rate,0.020491803278688492
exercise angina,0.008196721311475308
oldpeak,0.024590163934426146
ST slope,0.0491803278688524
age,0.004098360655737654
sex,0.004098360655737654
chest pain type,0.08606557377049173
resting bp s,0.024590163934426146
cholesterol,0.004098360655737654
fasting blood sugar,0.024590163934426146
resting ecg,0.004098360655737654
max heart rate,0.004098360655737654
exercise angina,0.020491803278688492
oldpeak,0.020491803278688492
ST slope,0.04508196721311475
age,0.008196721311475308
sex,0.0
chest pain type,0.09836065573770492
resting bp s,0.004098360655737654
cholesterol,0.0
fasting blood sugar,0.008196721311475308
resting ecg,0.008196721311475308
max heart rate,0.020491803278688492
exercise angina,0.016393442622950727
oldpeak,0.02868852459016391
ST slope,0.07377049180327866
