feature,mda
fasting blood sugar,-0.008196721311475419
resting ecg,-0.016393442622950838
max heart rate,0.0
exercise angina,-0.020491803278688492
oldpeak,0.0
ST slope,0.15573770491803274
age,-0.008196721311475419
sex,0.016393442622950838
chest pain type,0.020491803278688492
resting bp s,0.0
cholesterol,-0.004098360655737765
fasting blood sugar,0.012295081967213073
resting ecg,-0.004098360655737765
max heart rate,-0.004098360655737765
exercise angina,0.008196721311475419
oldpeak,0.008196721311475419
ST slope,0.18442622950819676
age,-0.008196721311475419
sex,0.004098360655737654
chest pain type,0.061475409836065587
resting bp s,0.0
cholesterol,0.0
fasting blood sugar,0.004098360655737654
resting ecg,-0.008196721311475419
max heart rate,0.0
exercise angina,-0.012295081967213073
oldpeak,-0.008196721311475419
ST slope,0.2090163934426229
age,-0.004098360655737765
sex,-0.004098360655737765
chest pain type,0.040983606557377095
resting bp s,-0.004098360655737765
cholesterol,-0.004098360655737765
fasting blood sugar,0.012295081967213073
resting ecg,0.0
max heart rate,0.0
exercise angina,0.008196721311475419
oldpeak,-0.004098360655737765
ST slope,0.2090163934426229
age,-0.004098360655737765
sex,0.004098360655737654
chest pain type,0.03688524590163933
resting bp s,-0.004098360655737765
cholesterol,0.0
fasting blood sugar,0.0
resting ecg,0.0
max heart rate,-0.004098360655737765
exercise angina,-0.012295081967213073
oldpeak,0.016393442622950838
ST slope,0.21311475409836067
age,-0.016393442622950838
sex,0.012295081967213073
chest pain type,0.069672131147541
resting bp s,-0.004098360655737765
cholesterol,0.004098360655737654
fasting blood sugar,-0.012295081967213073
resting ecg,-0.008196721311475419
max heart rate,0.0
exercise angina,0.0
oldpeak,-0.016393442622950838
ST slope,0.18442622950819676
age,-0.016393442622950838
sex,0.012295081967213073
chest pain type,0.03688524590163933
resting bp s,-0.004098360655737765
cholesterol,0.0
fasting blood sugar,0.020491803278688492
resting ecg,-0.012295081967213073
max heart rate,-0.004098360655737765
exercise angina,0.008196721311475419
oldpeak,0.0
ST slope,0.2295081967213115
age,0.004098360655737654
sex,0.012295081967213073
chest pain type,0.03688524590163933
resting bp s,-0.004098360655737765
cholesterol,0.0
fasting blood sugar,0.0
resting ecg,-0.004098360655737765
max heart rate,0.0
exercise angina,-0.016393442622950838
oldpeak,0.008196721311475419
ST slope,0.1885245901639344
age,-0.016393442622950838
sex,0.004098360655737654
chest pain type,0.0491803278688524
resting bp s,-0.004098360655737765
cholesterol,-0.008196721311475419
fasting blood sugar,0.0
resting ecg,-0.012295081967213073
max heart rate,0.0
exercise angina,-0.012295081967213073
oldpeak,0.004098360655737654
ST slope,0.17213114754098358
age,-0.012295081967213073
sex,0.008196721311475419
chest pain type,0.04508196721311475
resting bp s,-0.008196721311475419
cholesterol,-0.004098360655737765
fasting blood sugar,-0.004098360655737765
resting ecg,-0.004098360655737765
max heart rate,0.0
exercise angina,-0.012295081967213073
oldpeak,-0.012295081967213073
ST slope,0.180327868852459
age,-0.008196721311475419
sex,0.004098360655737654
chest pain type,0.032786885245901676
resting bp s,-0.008196721311475419
cholesterol,0.0
fasting blood sugar,0.0
resting ecg,-0.008196721311475419
max heart rate,0.0
exercise angina,-0.012295081967213073
oldpeak,0.004098360655737654
ST slope,0.15163934426229508
age,-0.016393442622950838
sex,-0.016393442622950838
chest pain type,0.020491803278688492
resting bp s,-0.004098360655737765
cholesterol,-0.004098360655737765
fasting blood sugar,0.012295081967213073
resting ecg,-0.012295081967213073
max heart rate,0.0
exercise angina,-0.008196721311475419
oldpeak,0.0
ST slope,0.21721311475409832
age,-0.012295081967213073
sex,-0.012295081967213073
chest pain type,0.07786885245901642
resting bp s,-0.004098360655737765
cholesterol,0.0
fasting blood sugar,-0.008196721311475419
resting ecg,-0.004098360655737765
max heart rate,0.0
exercise angina,-0.004098360655737765
oldpeak,-0.012295081967213073
ST slope,0.18442622950819676
age,0.004098360655737654
sex,0.008196721311475419
chest pain type,0.032786885245901676
resting bp s,-0.008196721311475419
cholesterol,-0.004098360655737765
fasting blood sugar,-0.008196721311475419
resting ecg,-0.004098360655737765
max heart rate,0.0
exercise angina,0.004098360655737654
oldpeak,0.004098360655737654
ST slope,0.17213114754098358
age,0.0
sex,0.016393442622950838
chest pain type,0.069672131147541
resting bp s,0.0
cholesterol,0.0
fasting blood sugar,0.008196721311475419
resting ecg,-0.012295081967213073
max heart rate,0.0
exercise angina,-0.012295081967213073
oldpeak,0.008196721311475419
ST slope,0.2008196721311475
age,-0.004098360655737765
sex,-0.004098360655737765
chest pain type,0.02868852459016391
resting bp s,-0.004098360655737765
cholesterol,0.0
fasting blood sugar,0.008196721311475419
resting ecg,-0.012295081967213073
max heart rate,0.0
exercise angina,0.008196721311475419
oldpeak,-0.008196721311475419
ST slope,0.21721311475409832
age,-0.012295081967213073
sex,0.008196721311475419
chest pain type,0.020491803278688492
resting bp s,-0.004098360655737765
cholesterol,0.0
fasting blood sugar,0.016393442622950838
resting ecg,-0.008196721311475419
max heart rate,0.0
exercise angina,0.008196721311475419
oldpeak,-0.004098360655737765
ST slope,0.180327868852459
age,-0.024590163934426257
sex,0.012295081967213073
chest pain type,0.04508196721311475
resting bp s,-0.012295081967213073
cholesterol,0.0
fasting blood sugar,0.004098360655737654
resting ecg,0.0
max heart rate,-0.004098360655737765
exercise angina,-0.024590163934426257
oldpeak,-0.016393442622950838
ST slope,0.2008196721311475
age,-0.004098360655737765
sex,0.016393442622950838
chest pain type,0.016393442622950838
resting bp s,-0.008196721311475419
cholesterol,0.0
fasting blood sugar,-0.008196721311475419
resting ecg,-0.004098360655737765
max heart rate,0.0
exercise angina,0.0
oldpeak,0.012295081967213073
ST slope,0.2008196721311475
age,0.012295081967213073
sex,-0.008196721311475419
chest pain type,0.0491803278688524
resting bp s,-0.004098360655737765
cholesterol,0.0
fasting blood sugar,0.008196721311475419
resting ecg,-0.004098360655737765
max heart rate,0.0
exercise angina,-0.012295081967213073
oldpeak,0.008196721311475419
ST slope,0.180327868852459
age,-0.004098360655737765
sex,0.0
chest pain type,0.04508196721311475
resting bp s,0.0
cholesterol,-0.004098360655737765
fasting blood sugar,0.008196721311475419
resting ecg,-0.004098360655737765
max heart rate,0.0
exercise angina,-0.008196721311475419
oldpeak,0.008196721311475419
ST slope,0.19262295081967218
age,0.0
sex,0.0
chest pain type,0.03688524590163933
resting bp s,0.0
cholesterol,0.0
fasting blood sugar,0.0
resting ecg,0.0
max heart rate,0.0
exercise angina,-0.008196721311475419
oldpeak,-0.008196721311475419
ST slope,0.2008196721311475
age,-0.012295081967213073
sex,-0.004098360655737765
chest pain type,0.03688524590163933
resting bp s,-0.008196721311475419
cholesterol,0.0
fasting blood sugar,0.008196721311475419
resting ecg,0.0
max heart rate,-0.004098360655737765
exercise angina,-0.016393442622950838
oldpeak,0.008196721311475419
ST slope,0.14344262295081966
age,-0.012295081967213073
sex,0.004098360655737654
chest pain type,0.016393442622950838
resting bp s,-0.008196721311475419
cholesterol,-0.004098360655737765
fasting blood sugar,0.008196721311475419
resting ecg,-0.012295081967213073
max heart rate,-0.004098360655737765
exercise angina,0.004098360655737654
oldpeak,-0.004098360655737765
ST slope,0.20491803278688525
age,-0.020491803278688492
sex,0.008196721311475419
chest pain type,0.04508196721311475
resting bp s,-0.008196721311475419
cholesterol,0.0
fasting blood sugar,0.004098360655737654
resting ecg,-0.012295081967213073
max heart rate,0.0
exercise angina,-0.020491803278688492
oldpeak,0.0
ST slope,0.19672131147540983
age,-0.004098360655737765
sex,0.016393442622950838
chest pain type,0.032786885245901676
resting bp s,0.0
cholesterol,0.0
fasting blood sugar,0.012295081967213073
resting ecg,-0.008196721311475419
max heart rate,0.0
exercise angina,-0.008196721311475419
oldpeak,-0.008196721311475419
ST slope,0.15163934426229508
age,-0.016393442622950838
sex,0.0
chest pain type,0.040983606557377095
resting bp s,-0.008196721311475419
cholesterol,0.0
fasting blood sugar,0.008196721311475419
resting ecg,0.004098360655737654
max heart rate,0.0
exercise angina,0.012295081967213073
oldpeak,0.004098360655737654
ST slope,0.180327868852459
age,-0.004098360655737765
sex,0.016393442622950838
chest pain type,0.04508196721311475
resting bp s,-0.008196721311475419
cholesterol,0.0
fasting blood sugar,0.008196721311475419
resting ecg,-0.008196721311475419
